# 3-way rolling pipeline CSV
# Generated by make_cases_csv.py
# Cases: 51-100
# workdir_agent:     /home/ai/work_real/workdir_agent
# workdir_baseline:  /home/ai/work_real/workdir_baseline
# workdir_proactive: /home/ai/work_real/workdir_proactive
#
# case_id, dataset_xlsx, workdir_agent, workdir_baseline, workdir_proactive, build_j, fuzz_j [, linux_template]
51, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_51.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
52, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_52.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
53, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_53.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
54, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_54.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
55, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_55.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
56, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_56.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
57, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_57.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
58, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_58.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
59, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_59.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
60, /home/ai/work/SyzAgent/generated_datasets/syzdirect_100/case_60.xlsx, /home/ai/work_real/workdir_agent, /home/ai/work_real/workdir_baseline, /home/ai/work_real/workdir_proactive, 4, 2, /home/ai/work_real/workdir_v3_ga/srcs/case_0
